Frequency (Hz)	Level (dB)
1512.707520	-63.075237
1518.090820	-69.400681
1523.474121	-76.032455
1528.857422	-75.042068
1534.240723	-74.468658
1539.624023	-74.133591
1545.007324	-73.825638
1550.390625	-73.824066
1555.773926	-74.519150
1561.157227	-76.364830
1566.540527	-78.388405
1571.923828	-78.562668
1577.307129	-78.539146
1582.690430	-79.457787
1588.073730	-78.996124
1593.457031	-80.027428
1598.840332	-84.460037
1604.223633	-84.867043
1609.606934	-84.806740
1614.990234	-79.251534
1620.373535	-70.743309
1625.756836	-64.085617
1631.140137	-60.503117
1636.523438	-60.298332
1641.906738	-63.703079
1647.290039	-70.805168
1652.673340	-77.516151
1658.056641	-79.759491
1663.439941	-84.466248
1668.823242	-82.477280
1674.206543	-77.789520
1679.589844	-76.835426
1684.973145	-78.697166
1690.356445	-81.180290
1695.739746	-80.222824
1701.123047	-77.939545
1706.506348	-76.999275
1711.889648	-76.751579
1717.272949	-75.839317
1722.656250	-75.145020
1728.039551	-75.039360
1733.422852	-74.840759
1738.806152	-75.367897
1744.189453	-76.834015
1749.572754	-73.113152
1754.956055	-66.881790
1760.339355	-64.063568
1765.722656	-65.009987
1771.105957	-69.385674
1776.489258	-74.968918
1781.872559	-75.477211
1787.255859	-75.891724
1792.639160	-77.031471
1798.022461	-76.933266
1803.405762	-76.128281
1808.789062	-76.146233
1814.172363	-77.135033
1819.555664	-77.633957
1824.938965	-78.401886
1830.322266	-81.560623
1835.705566	-83.921204
1841.088867	-82.689056
1846.472168	-84.336151
1851.855469	-91.584885
1857.238770	-85.609169
1862.622070	-81.239182
1868.005371	-76.078659
1873.388672	-69.523270
1878.771973	-64.479752
1884.155273	-62.294575
1889.538574	-63.378864
1894.921875	-67.759903
1900.305176	-74.424667
1905.688477	-78.125938
1911.071777	-80.265579
1916.455078	-85.803421
1921.838379	-87.321938
1927.221680	-83.349098
1932.604980	-81.111130
1937.988281	-80.220444
1943.371582	-80.421265
1948.754883	-81.827446
1954.138184	-82.815208
1959.521484	-82.121666
1964.904785	-81.722389
1970.288086	-80.295906
1975.671387	-78.456863
1981.054688	-78.107330
1986.437988	-78.963982
1991.821289	-78.891914
1997.204590	-78.518997
2002.587891	-71.695160
2007.971191	-65.751511
2013.354492	-63.901669
2018.737793	-65.658997
2024.121094	-70.323494
2029.504395	-75.190666
2034.887695	-77.166412
2040.270996	-78.324165
2045.654297	-78.496315
2051.037598	-78.687111
2056.420898	-78.904617
2061.804199	-77.352318
2067.187500	-75.723091
2072.570801	-76.364113
2077.954102	-79.390892
2083.337402	-81.625549
2088.720703	-83.556335
2094.104004	-84.965446
2099.487305	-84.950706
2104.870605	-87.948677
2110.253906	-84.109077
2115.637207	-80.781136
2121.020508	-77.527237
2126.403809	-73.059914
2131.787109	-69.751678
2137.170410	-68.964478
2142.553711	-70.639870
2147.937012	-74.066025
2153.320312	-76.785919
2158.703613	-79.015259
2164.086914	-82.335579
2169.470215	-83.914818
2174.853516	-81.522705
2180.236816	-82.747528
2185.620117	-81.204338
2191.003418	-74.335358
2196.386719	-72.170319
2201.770020	-74.015083
2207.153320	-77.738327
2212.536621	-76.664101
2217.919922	-74.489082
2223.303223	-72.985291
2228.686523	-71.764198
2234.069824	-70.962524
2239.453125	-70.931839
2244.836426	-68.884628
2250.219727	-64.075676
2255.603027	-59.006546
2260.986328	-56.025021
2266.369629	-56.008408
2271.752930	-58.926437
2277.136230	-63.445972
2282.519531	-66.310486
2287.902832	-66.773834
2293.286133	-66.153458
2298.669434	-65.404724
2304.052734	-64.728149
2309.436035	-64.890472
2314.819336	-64.197411
2320.202637	-63.102196
2325.585938	-63.535908
2330.969238	-65.753769
2336.352539	-67.451042
2341.735840	-66.541084
2347.119141	-64.593163
2352.502441	-64.820076
2357.885742	-67.756409
2363.269043	-70.312447
2368.652344	-68.802757
2374.035645	-69.855652
2379.418945	-68.314026
2384.802246	-57.910286
2390.185547	-54.464691
2395.568848	-55.995213
